quote,writer,tags
"এখনো বিষের পেয়ালা ঠোঁটের সামনে তুলে ধরা হয় নি, তুমি কথা বলো",হুমায়ূন আজাদ,"['ধর্ম', 'সমাজ', 'রাজনীতি']"
"আমাদের প্রায়-প্রতিটি মার্ক্সবাদী তাত্ত্বিকের ভেতরে একটি ক’রে মৌলবাদী বাস করে। তারা পান করাকে পাপ মনে করে, প্রেমকে গুনাহ মনে করে, কিন্তু চারখান বিবাহকে আপত্তিকর মনে করে না",হুমায়ূন আজাদ,"['ধর্ম', 'সমাজ', 'রাজনীতি']"
"মসজিদ ভাঙে ধার্মিকেরা,মন্দির ও ভাঙে ধার্মিকেরা তারপর ও তারা দাবী করে তারা ধার্মিক আর যারা ভাঙাভাঙি তে নেই তারা অধার্মিক বা নাস্তিক",হুমায়ূন আজাদ,"['ধর্ম', 'সমাজ', 'রাজনীতি']"
"একটি স্থাপত্যকর্ম সম্পর্কেই আমার কোনো আপত্তি নেই, তার কোনো সংস্কারও আমি অনুমোদন করি না। স্থাপত্যকর্মটি হচ্ছে নারীদেহ।",হুমায়ূন আজাদ,"['প্রেম', 'সমাজ']"
"আগুনকে যে ভয় পায়, সে আগুনকে ব্যবহার করতে পারে না",রবীন্দ্রনাথ ঠাকুর,['উপদেশ']
"দ্বিতীয়, তৃতীয়, চতুর্থ, পঞ্চম প্রেম বলে কিছু নেই। মানুষ যখন প্রেমে পরে তখন প্রতিটি প্রেমই প্রথম প্রেম।",হুমায়ূন আজাদ,"['প্রেম', 'ভালোবাসা দিবস']"
ভালো মানুষের রাগ থাকে বেশি। যারা মিচকা শয়তান তারা রাগে না। পাছায় লাথি মারলেও লাথি খেয়ে হাসবে।,হুমায়ূন আহমেদ,['সমাজ']
"মানুষ সিংহের প্রশংসা করে, কিন্তু আসলে গাধাকেই পছন্দ করে",হুমায়ূন আজাদ,"['সমাজ', 'রাজনীতি']"
"পুঁজিবাদের আল্লার নাম টাকা, মসজিদের নাম ব্যাংক",হুমায়ূন আজাদ,"['সমাজ', 'রাজনীতি']"
সুন্দর মনের থেকে সুন্দর শরীর অনেক আকর্ষনীয়। কিন্তু ভন্ডরা বলেন উলটো কথা,হুমায়ূন আজাদ,['প্রেম']
হিন্দুরা মূর্তিপূজারী; মুসলমানেরা ভাবমূর্তিপূজারী। মূর্তিপূজা নির্বুদ্ধিতা; আর ভাবমূর্তিপূজা ভয়াবহ।,হুমায়ূন আজাদ,"['ধর্ম', 'রাজনীতি']"
"শামসুর রাহমানকে একটি অভিনেত্রীর সাথে টিভিতে দেখা গেছে। শামসুর রাহমান বোঝেন না কার সঙ্গে পর্দায়, আর কার সঙ্গে শয্যায় যেতে হয়",হুমায়ূন আজাদ,"['সমাজ', 'রাজনীতি']"
আগে কারো সাথে পরিচয় হ’লে জানতে ইচ্ছে হতো সে কী পাশ? এখন কারো সাথে দেখা হ’লে জানতে ইচ্ছে হয় সে কী ফেল?,হুমায়ূন আজাদ,"['সমাজ', 'রাজনীতি']"
শ্রদ্ধা হচ্ছে শক্তিমান কারো সাহায্যে স্বার্থোদ্ধারের বিনিময়ে পরিশোধিত পারিশ্রমিক,হুমায়ূন আজাদ,['সমাজ']
"আজকাল আমার সাথে কেউ একমত হ'লে নিজের সম্বন্ধে গভীর সন্দেহ জাগে মনে হয় আমি সম্ভবত সত্যভ্রষ্ট হয়েছি, বা নিম্নমাঝারি হয়ে গেছি",হুমায়ূন আজাদ,['সমাজ']
‘মিনিষ্টার’ শব্দের মূল অর্থ ভৃত্য। বাঙলাদেশের মন্ত্রীদের দেখে শব্দটির মূল অর্থই মনে পড়ে,হুমায়ূন আজাদ,['রাজনীতি']
"আগে কাননবালারা আসতো পতিতালয় থেকে, এখন আসে বিশ্ববিদ্যালয় থেকে",হুমায়ূন আজাদ,['সমাজ']
জনপ্রিয়তা হচ্ছে নেমে যাওয়ার সিঁড়ি। অনেকেই আজকাল জনপ্রিয়তার পথে নেমে যাচ্ছে,হুমায়ূন আজাদ,['সমাজ']
উন্নতি হচ্ছে ওপরের দিকে পতন। অনেকেরেই আজকাল ওপরের দিকে পতন ঘটছে,হুমায়ূন আজাদ,['সমাজ']
"ব্যর্থরাই প্রকৃত মানুষ, সফলেরা শয়তান",হুমায়ূন আজাদ,['সমাজ']
"আমাদের অঞ্চলে সৌন্দর্য অশ্লীল, অসৌন্দর্য শ্লীল। রুপসীর একটু নগ্নবাহু দেখে ওরা হৈ চৈ করে, কিন্তু পথে পথে ভিখিরিনির উলঙ্গ দেহ দেখে ওরা একটুও বিচলিত হয় না",হুমায়ূন আজাদ,['সমাজ']
পরমাত্মীয়ের মৃত্যুর শোকের মধ্যেও মানুষ কিছুটা সুখ বোধ করে যে সে নিজে বেঁচে আছে,হুমায়ূন আজাদ,['সমাজ']
"মহামতি সলোমনের নাকি তিন শো পত্নী, আর সাত হাজার উপপত্নী ছিলো। আমার মাত্র একটি পত্নী। তবু সলোমনের চরিত্র সম্পর্কে কারো কোনো আপত্তি নেই, কিন্তু আমার চরিত্র নিয়ে সবাই উদ্বিগ্ন",হুমায়ূন আজাদ,['সমাজ']
বাঙালি যখন সত্য কথা বলে তখন বুঝতে হবে পেছনে কোনো অসৎ উদ্দেশ্য আছে,হুমায়ূন আজাদ,['সমাজ']
আধুনিক প্রচার মাধ্যমগুলো অসংখ্য শুয়োরবৎসকে মহামানবরূপে প্রতিষ্ঠিত করেছে,হুমায়ূন আজাদ,"['সমাজ', 'রাজনীতি']"
"শুনি মরিলে পাব বেহেস্তখানা, তা শুনে তো মন মানেনা। বাকির লোভে নগদ পাওনা কে ছাড়ে এই ভূবনে",লালন,"['কাম', 'দর্শন', 'ধর্ম']"
"সবাই তোমাকে কষ্ট দিবে, তোমাকে শুধু এমন একজন কে খুঁজে নিতে হবে যার দেয়া কষ্ট তুমি সহ্য করতে পারবে",হুমায়ূন আহমেদ,"['তুমি', 'প্রেম', 'অনুভব', 'অনুভুতি', 'প্রেমপত্র', 'ভালোবাসা দিবস', 'প্রেমিকা', 'অনুভূতি', 'দর্শন', 'উপদেশ', 'প্রেমিক', 'দুঃখ', 'মায়া', 'ভালোবাসা', 'ভালোবাসি', 'প্রেরণা']"
"অধিকাংশ রূপসীর হাসির শোভা মাংসপেশির কৃতিত্ব, হৃদয়ের কৃতিত্ব নয়",হুমায়ূন আজাদ,"['নারী', 'প্রেম']"
"পাকিস্তানিদের আমি অবিশ্বাস করি, যখন তারা গোলাপ নিয়ে আসে, তখনও",হুমায়ূন আজাদ,"['দেশপ্রেম', 'রাজনীতি']"
আবর্জনাকে রবীন্দ্রনাথ প্রশংসা করলেও আবর্জনাই থাকে,হুমায়ূন আজাদ,['সাহিত্য']
নিজের নিকৃষ্ট কালে চিরশ্রেষ্ঠ ব্যক্তিদের সঙ্গ পাওয়ার জন্য রয়েছে বই; আর সমকালের নিকৃষ্ট ব্যক্তিদের সঙ্গ পাওয়ার জন্যে রয়েছে টেলিভিশন ও সংবাদপত্র,হুমায়ূন আজাদ,['সাহিত্য']
